id,pondera_dem,fecha,region,sexo,edad,p1,p1otros,p2,p2_1,p2_1otro,p2_2,p3,p4,p5,p6horas,p6minutos,horas_radio,minutos_radio,p7_1,p7_2,p7_3,p7_4,p7_5,p8a,p8b,p8c,p8d,p8e,p8f,p8g,p8otros,p9,p10,p10_1,p10_1otr,p10_2,p11,p12horas,p12minutos,horas_musica,minutos_musica,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,p13_9,p14_1,p14_2,p14_3,p14_4,p14_5,p14_6,p14_7,p14_8,p14_9,p14_10,p14_11,p14_12,p14_13,p14_14,p15,p16,p17_1,p17_2,p18a,p18b,p18c,p18d,p18e,p18f,p18g,p18otros,
574,6773,1/6/2017,PATAGONIA,Varón,54,TEATRO, ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AM,3,0,3,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,3,0,3,0,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,CASI NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,7 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
575,8466,8/6/2017,PATAGONIA,Varón,61,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,1,0,1,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,PROGRAMAS RELIGIOSOS,NA,NA,NA,NA,NA, ,2,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,3,0,3,0,NUNCA,ALGUNAS VECES AL MES,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,10 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,
576,2131,8/6/2017,PATAGONIA,Mujer,15,"LA TRADICION, LA HISTORIA", ,NO,PORQUE NO LE INTERESA, ,NO,NA,NA,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,0,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,5,0,5,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,0 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,
577,3049,8/6/2017,PATAGONIA,Mujer,29,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AM,1,0,1,0,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,2,0,2,0,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,HABITUALMENTE,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,4 canciones,SI,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ CADA 3 MESES,YOUTUBE,NA,NA,NA,NA,NA,NA,
578,2184,1/6/2017,PATAGONIA,Mujer,32,"HABITOS, COSTUMBRES, COMPORTAMIENTOS", ,NO,PORQUE NO LE INTERESA, ,NO,NA,NA,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,4,0,4,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,CASI NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,CASI NUNCA,NS/NC,DE VEZ EN CUANDO,NUNCA,NUNCA,HABITUALMENTE,6 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,
579,17472,1/6/2017,PATAGONIA,Mujer,46,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,4,0,4,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,INFORMATIVOS / NOTICIEROS,CULTURALES,CHIMENTOS,ACTUALIDAD / MAGAZINE,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,2,0,2,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,HABITUALMENTE,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,CASI NUNCA,NUNCA,NUNCA,CASI NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,HABITUALMENTE,NUNCA,6 canciones,SI,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,YOUTUBE,NA,NA,NA,NA,NA,NA,
580,6041,1/6/2017,PATAGONIA,Mujer,69,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,AM,2,0,2,0,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,CULTURALES,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,2,0,2,0,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,HABITUALMENTE,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,4 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,
581,3281,4/6/2017,PATAGONIA,Varón,13,"HABITOS, COSTUMBRES, COMPORTAMIENTOS", ,NO,POR FALTA DE TIEMPO, ,NO,NA,NA,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,3,0,3,0,NUNCA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,HABITUALMENTE,4 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,
582,2173,4/6/2017,PATAGONIA,Varón,24,"HABITOS, COSTUMBRES, COMPORTAMIENTOS", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,3,0,3,0,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,MUSICALES,DEPORTIVOS,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,4,0,4,0,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NS/NC,NUNCA,NUNCA,7 canciones,SI,NUNCA,ALGUNOS DIAS POR SEMANA,YOUTUBE,NA,NA,NA,NA,NA,
583,3383,4/6/2017,PATAGONIA,Varón,36,"LOS MODALES, EL BUEN COMPORTAMIENTO", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AM,3,0,3,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,DEPORTIVOS,CULTURALES,ACTUALIDAD / MAGAZINE,PROGRAMAS RELIGIOSOS,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,3,0,3,0,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,5 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,
584,1321,4/6/2017,PATAGONIA,Varón,52,LA IDENTIDAD, ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,AMBAS POR IGUAL,2,0,2,0,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,DEPORTIVOS,NA,NA,NA,NA, ,2,SI,, ,NA,ALGUNOS DIAS POR SEMANA,1,0,1,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNOS DIAS POR SEMANA,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,6 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
585,1321,4/6/2017,PATAGONIA,Varón,61,NS/NC, ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,FM,10,0,10,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,MUSICALES,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,10 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
586,3325,4/6/2017,PATAGONIA,Mujer,16,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,NO,ALGUNAS VECES AL MES,AMBAS POR IGUAL,0,30,0,30,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,MUSICALES,DEPORTIVOS,PROGRAMAS RELIGIOSOS,NA,NA,NA,NA, ,2,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,10,0,10,0,NUNCA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NUNCA,HABITUALMENTE,NUNCA,NUNCA,3 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,SPOTIFY,GOOGLE PLAY,YOUTUBE,NA,NA,NA,NA,
587,3568,4/6/2017,PATAGONIA,Mujer,27,OTRO,COMO SOMOS,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,0,15,0,15,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,MUSICALES,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,6,0,6,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,HABITUALMENTE,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NUNCA,NUNCA,NUNCA,HABITUALMENTE,6 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
588,2379,4/6/2017,PATAGONIA,Mujer,30,"LA TRADICION, LA HISTORIA", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,FM,3,0,3,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,6,0,6,0,NUNCA,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,DE VEZ EN CUANDO,CASI NUNCA,DE VEZ EN CUANDO,CASI NUNCA,CASI NUNCA,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,HABITUALMENTE,NUNCA,HABITUALMENTE,5 canciones,SI,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,YOUTUBE,NA,NA,NA,NA,NA,NA,
589,6815,10/6/2017,PATAGONIA,Mujer,46,"INFORMACION, ESTUDIAR, CONOCER", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,AM,2,0,2,0,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNAS VECES AL MES,1,30,1,30,ALGUNA VEZ AL AÑO O MENOS,ALGUNAS VECES AL MES,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,CASI NUNCA,CASI NUNCA,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,8 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,
590,2666,10/6/2017,PATAGONIA,Mujer,63,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,3,0,3,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,INFORMATIVOS / NOTICIEROS,CULTURALES,CHIMENTOS,ACTUALIDAD / MAGAZINE,NA,NA,NA, ,2,SI,, ,NA,ALGUNOS DIAS POR SEMANA,1,0,1,0,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,HABITUALMENTE,NUNCA,7 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,
591,2528,6/6/2017,PATAGONIA,Varón,13,"EL ARTE, LO CULTO", ,NO,PORQUE NO LE INTERESA, ,NO,NA,NA,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,3,0,3,0,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,CASI NUNCA,NUNCA,NUNCA,CASI NUNCA,CASI NUNCA,NUNCA,NUNCA,CASI NUNCA,CASI NUNCA,HABITUALMENTE,NUNCA,NUNCA,0 canciones,SI,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,OTROS,NA,NA,NA,NA,NA,NA,
592,1674,6/6/2017,PATAGONIA,Varón,24,"INFORMACION, ESTUDIAR, CONOCER", ,SI,, ,NA,SI,ALGUNOS DIAS POR SEMANA,AM,1,0,1,0,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,10 canciones,SI,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,YOUTUBE,NA,NA,NA,NA,NA,
593,5214,6/6/2017,PATAGONIA,Varón,37,"EL ARTE, LO CULTO", ,SI,, ,NA,SI,ALGUNOS DIAS POR SEMANA,AMBAS POR IGUAL,0,40,0,40,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA, ,0,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,1,0,1,0,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,CASI NUNCA,CASI NUNCA,NUNCA,NUNCA,CASI NUNCA,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,CASI NUNCA,5 canciones,SI,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,SPOTIFY,APPLE MUSIC,NA,NA,NA,NA,NA,
594,4071,30/5/2017,PATAGONIA,Varón,56,"EL ARTE, LO CULTO", ,SI,, ,NA,SI,TODOS O CASI TODOS LOS DIAS,AM,1,30,1,30,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,INFORMATIVOS / NOTICIEROS,NA,NA,NA,NA,NA,NA, ,0,SI,, ,NA,ALGUNOS DIAS POR SEMANA,1,0,1,0,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,3 canciones,SI,TODOS O CASI TODOS LOS DIAS,NUNCA,SPOTIFY,YOUTUBE,NA,NA,NA,NA,NA,
595,4801,30/5/2017,PATAGONIA,Varón,71,EDUCACION, ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,FM,1,0,1,0,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,DEPORTIVOS,CULTURALES,ACTUALIDAD / MAGAZINE,NA,NA,NA, ,1,NO,POR FALTA DE TIEMPO, ,SI,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,
596,3383,6/6/2017,PATAGONIA,Mujer,19,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,2,0,2,0,NUNCA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DIAS,NUNCA,MUSICALES,NA,NA,NA,NA,NA,NA, ,0,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,8,0,8,0,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NS/NC,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,CASI NUNCA,CASI NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,5 canciones,SI,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,YOUTUBE,NA,NA,NA,NA,NA,NA,
597,3666,24/5/2017,PATAGONIA,Mujer,29,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AM,3,0,3,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,HABITUALMENTE,4 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,YOUTUBE,ARES,NA,NA,NA,NA,NA,
598,2626,6/6/2017,PATAGONIA,Mujer,35,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,FM,2,0,2,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,5,0,5,0,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,CASI NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,3 canciones,SI,TODOS O CASI TODOS LOS DIAS,NUNCA,SPOTIFY,YOUTUBE,NA,NA,NA,NA,NA,
599,2680,30/5/2017,PATAGONIA,Mujer,50,CINE, ,NO,PORQUE NO LE INTERESA, ,NO,NA,NA,NA,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,2,0,2,0,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,HABITUALMENTE,DE VEZ EN CUANDO,4 canciones,SI,ALGUNOS DIAS POR SEMANA,NUNCA,SPOTIFY,YOUTUBE,NA,NA,NA,NA,NA, ,
600,4842,30/5/2017,PATAGONIA,Mujer,69,"HABITOS, COSTUMBRES, COMPORTAMIENTOS", ,SI,, ,NA,NO,TODOS O CASI TODOS LOS DIAS,AM,3,0,3,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,1,0,1,0,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,CASI NUNCA,DE VEZ EN CUANDO,CASI NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,9 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,
601,4765,17/5/2017,NOA,Varón,18,"HABITOS, COSTUMBRES, COMPORTAMIENTOS", ,SI,, ,NA,SI,ALGUNOS DIAS POR SEMANA,FM,1,0,1,0,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,MUSICALES,DEPORTIVOS,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,2,0,2,0,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,4 canciones,SI,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,YOUTUBE,NA,NA,NA,NA,NA,
